iter	RMSE
0	7.087992125
1	6.964096691
2	6.783089218
3	6.693611733
4	6.601442845
5	6.395329317
6	6.240590647
7	6.096035486
8	5.936720143
9	5.813103475
10	5.675800944
11	5.60689414
12	5.504503487
13	5.420648724
14	5.251943786
15	5.129378579
16	4.954213036
17	4.871833193
18	4.750858334
19	4.68122355
20	4.552348536
21	4.436474916
22	4.270053816
23	4.164415888
24	4.105441994
25	4.030773061
26	3.939045485
27	3.815314044
28	3.73129444
29	3.641091828
30	3.548155554
31	3.412670585
32	3.271106262
33	3.194971034
34	3.08565539
35	2.953064319
36	2.853222181
37	2.783595898
38	2.698499788
39	2.644997053
40	2.536949398
41	2.465464137
42	2.386961652
43	2.333284198
44	2.286562314
45	2.236652899
46	2.199256725
47	2.151748349
48	2.104433699
49	2.048179338
50	2.007282671
51	1.954807001
52	1.917526947
53	1.843407978
54	1.773878791
55	1.704854656
56	1.641195359
57	1.606658261
58	1.547522457
59	1.515054461
60	1.454199336
61	1.431639355
62	1.397790519
63	1.368960911
64	1.347968485
65	1.320870753
66	1.287651242
67	1.262666538
68	1.240040401
69	1.21108805
70	1.189618788
71	1.169039398
72	1.149305351
73	1.130375648
74	1.112212444
75	1.094780703
76	1.049772782
77	1.028983223
78	0.9875717961
79	0.9642440946
80	0.9497026221
81	0.9119183655
82	0.8909080232
83	0.8778716658
84	0.8551798261
85	0.8213177283
86	0.8092680674
87	0.7976869997
88	0.766932174
89	0.7468480136
90	0.7361442859
91	0.72585614
92	0.6981479381
93	0.6780267573
94	0.6630841989
95	0.6450022779
96	0.6204782323
97	0.5919009135
98	0.5791956034
99	0.5622742159
