iter	Passed	Remaining
0	0	97
1	1	86
2	2	83
3	3	81
4	4	76
5	4	74
6	5	74
7	6	73
8	7	73
9	7	71
10	8	70
11	9	68
12	10	67
13	10	65
14	11	64
15	12	63
16	12	63
17	13	62
18	15	64
19	15	62
20	16	62
21	17	61
22	18	62
23	20	64
24	24	72
25	25	71
26	26	71
27	27	70
28	28	70
29	29	69
30	30	68
31	31	66
32	32	65
33	33	64
34	34	63
35	36	64
36	37	63
37	38	62
38	39	61
39	39	59
40	40	58
41	41	57
42	42	56
43	43	54
44	43	53
45	44	52
46	45	51
47	46	50
48	46	48
49	48	48
50	49	47
51	51	47
52	52	46
53	53	45
54	53	44
55	54	43
56	55	41
57	56	40
58	57	39
59	58	38
60	59	37
61	60	36
62	60	35
63	61	34
64	64	34
65	66	34
66	69	34
67	70	33
68	71	32
69	73	31
70	74	30
71	76	29
72	78	29
73	80	28
74	81	27
75	82	26
76	83	24
77	83	23
78	84	22
79	85	21
80	85	20
81	86	19
82	87	17
83	88	16
84	89	15
85	90	14
86	91	13
87	92	12
88	94	11
89	94	10
90	95	9
91	96	8
92	97	7
93	97	6
94	98	5
95	99	4
96	100	3
97	100	2
98	101	1
99	102	0
